read,bnf,read_new,bnf_new
aa66.,01.05.01.00,aa66,01050100
aa67.,01.05.00.00,aa67,01050000
aa6t.,01.05.01.00,aa6t,01050100
aa6u.,01.05.01.00,aa6u,01050100
aa6v.,01.05.01.00,aa6v,01050100
aa6y.,01.05.01.00,aa6y,01050100
aa6z.,01.05.00.00,aa6z,01050000
aa7..,01.05.01.00,aa7,01050100
aa71.,01.05.01.00,aa71,01050100
aa72.,01.05.01.00,aa72,01050100
aa73.,01.05.01.00,aa73,01050100
aa74.,01.05.01.00,aa74,01050100
aa8..,00.00.00.00,aa8,00000000
aa9..,01.05.02.00,aa9,01050200
aa91.,01.05.02.00,aa91,01050200
aa92.,01.05.02.00,aa92,01050200
aa93.,01.05.02.00,aa93,01050200
aa94.,01.05.02.00,aa94,01050200
aa95.,01.05.02.00,aa95,01050200
aa96.,01.05.02.00,aa96,01050200
aa97.,01.05.02.00,aa97,01050200
aa9z.,01.05.02.00,aa9z,01050200
aaA..,01.05.01.00,aaA,01050100
aaA1.,01.05.01.00,aaA1,01050100
aaA2.,01.05.01.00,aaA2,01050100
aaB..,01.05.02.00,aaB,01050200
aaB1.,01.05.02.00,aaB1,01050200
aaBz.,01.05.02.00,aaBz,01050200
ab...,01.06.01.00,ab,01060100
ab1..,01.06.01.00,ab1,01060100
ab11.,01.06.01.00,ab11,01060100
ab13.,01.06.01.00,ab13,01060100
ab14.,01.06.01.00,ab14,01060100
ab2..,01.06.01.00,ab2,01060100
ab21.,01.06.01.00,ab21,01060100
ab22.,01.06.01.00,ab22,01060100
ab23.,01.06.01.00,ab23,01060100
ab25.,01.06.01.00,ab25,01060100
ab26.,01.06.01.00,ab26,01060100
ab28.,01.06.02.00,ab28,01060200
ab29.,01.06.02.00,ab29,01060200
ab2A.,01.06.02.00,ab2A,01060200
ab2B.,01.06.01.00,ab2B,01060100
ab2C.,01.06.01.00,ab2C,01060100
ab2D.,01.06.01.00,ab2D,01060100
ab2E.,01.06.01.00,ab2E,01060100
ab2F.,01.06.01.00,ab2F,01060100
ab2G.,01.06.01.00,ab2G,01060100
ab2H.,01.06.01.00,ab2H,01060100
ab2J.,01.06.01.00,ab2J,01060100
ab2K.,01.06.01.00,ab2K,01060100
ab2L.,01.06.01.00,ab2L,01060100
ab2M.,01.06.01.00,ab2M,01060100
ab2N.,01.06.01.00,ab2N,01060100
ab2O.,01.06.01.00,ab2O,01060100
ab2P.,01.06.01.00,ab2P,01060100
